C:\Users\SACHIN SHARMA\Data\IMG\center_2019_03_21_22_31_18_553.jpg, C:\Users\SACHIN SHARMA\Data\IMG\left_2019_03_21_22_31_18_553.jpg, C:\Users\SACHIN SHARMA\Data\IMG\right_2019_03_21_22_31_18_553.jpg, 0, 0, 0, 7.804318E-05
C:\Users\SACHIN SHARMA\Data\IMG\center_2019_03_21_22_31_18_659.jpg, C:\Users\SACHIN SHARMA\Data\IMG\left_2019_03_21_22_31_18_659.jpg, C:\Users\SACHIN SHARMA\Data\IMG\right_2019_03_21_22_31_18_659.jpg, 0, 0, 0, 7.790411E-05
C:\Users\SACHIN SHARMA\Data\IMG\center_2019_03_21_22_31_18_767.jpg, C:\Users\SACHIN SHARMA\Data\IMG\left_2019_03_21_22_31_18_767.jpg, C:\Users\SACHIN SHARMA\Data\IMG\right_2019_03_21_22_31_18_767.jpg, 0, 0, 0, 7.7729E-05
C:\Users\SACHIN SHARMA\Data\IMG\center_2019_03_21_22_31_18_869.jpg, C:\Users\SACHIN SHARMA\Data\IMG\left_2019_03_21_22_31_18_869.jpg, C:\Users\SACHIN SHARMA\Data\IMG\right_2019_03_21_22_31_18_869.jpg, 0, 0, 0, 8.01569E-05
C:\Users\SACHIN SHARMA\Data\IMG\center_2019_03_21_22_31_18_973.jpg, C:\Users\SACHIN SHARMA\Data\IMG\left_2019_03_21_22_31_18_973.jpg, C:\Users\SACHIN SHARMA\Data\IMG\right_2019_03_21_22_31_18_973.jpg, 0, 0, 0, 7.921451E-05
C:\Users\SACHIN SHARMA\Data\IMG\center_2019_03_21_22_31_19_076.jpg, C:\Users\SACHIN SHARMA\Data\IMG\left_2019_03_21_22_31_19_076.jpg, C:\Users\SACHIN SHARMA\Data\IMG\right_2019_03_21_22_31_19_076.jpg, 0, 0, 0, 7.796459E-05
C:\Users\SACHIN SHARMA\Data\IMG\center_2019_03_21_22_31_19_179.jpg, C:\Users\SACHIN SHARMA\Data\IMG\left_2019_03_21_22_31_19_179.jpg, C:\Users\SACHIN SHARMA\Data\IMG\right_2019_03_21_22_31_19_179.jpg, 0, 0, 0, 7.839518E-05
C:\Users\SACHIN SHARMA\Data\IMG\center_2019_03_21_22_31_19_281.jpg, C:\Users\SACHIN SHARMA\Data\IMG\left_2019_03_21_22_31_19_281.jpg, C:\Users\SACHIN SHARMA\Data\IMG\right_2019_03_21_22_31_19_281.jpg, 0, 0, 0, 8.078203E-05
C:\Users\SACHIN SHARMA\Data\IMG\center_2019_03_21_22_31_19_384.jpg, C:\Users\SACHIN SHARMA\Data\IMG\left_2019_03_21_22_31_19_384.jpg, C:\Users\SACHIN SHARMA\Data\IMG\right_2019_03_21_22_31_19_384.jpg, 0, 0, 0, 7.926964E-05
C:\Users\SACHIN SHARMA\Data\IMG\center_2019_03_21_22_31_19_490.jpg, C:\Users\SACHIN SHARMA\Data\IMG\left_2019_03_21_22_31_19_490.jpg, C:\Users\SACHIN SHARMA\Data\IMG\right_2019_03_21_22_31_19_490.jpg, 0, 0, 0, 7.870766E-05
